Total,FalseAlarm,HitRate,Syllable,Subject,Block,Condition,Position
4,0,1,pu,4,2,1,
5,0.4,0.75,ta,4,2,1,
3,0.333333333,0.5,me,4,2,1,
3,0,0.75,fe,4,2,1,
4,0,1,ko,4,2,1,
2,0,0.5,ti,4,2,1,
3,0,0.75,ni,4,2,1,
5,0.2,1,re,4,2,1,
2,0,0.5,fu,4,2,1,
5,0.4,0.75,ru,4,2,1,
2,0,0.5,ge,4,2,1,
4,0,1,su,4,2,1,
3,0.333333333,0.5,ta,4,3,1,
5,0.2,1,ti,4,3,1,
4,0.5,0.5,me,4,3,1,
4,0.25,0.75,pu,4,3,1,
3,0,0.75,su,4,3,1,
4,0.25,0.75,ru,4,3,1,
3,0,0.75,ko,4,3,1,
6,0.333333333,1,re,4,3,1,
3,0,0.75,fu,4,3,1,
2,0.5,0.25,ni,4,3,1,
4,0,1,ge,4,3,1,
3,0.333333333,0.5,fe,4,3,1,
5,0.6,0.5,ta,5,1,1,
4,0.25,0.75,ti,5,1,1,
3,0.333333333,0.5,me,5,1,1,
4,0,1,pu,5,1,1,
3,0,0.75,su,5,1,1,
4,0,1,ru,5,1,1,
4,0,1,ko,5,1,1,
5,0.2,1,re,5,1,1,
3,0,0.75,fu,5,1,1,
5,0.2,1,ni,5,1,1,
0,0,0,ge,5,1,1,
2,0,0.5,fe,5,1,1,
4,0,1,me,5,2,1,
5,0.6,0.5,ti,5,2,1,
4,0.25,0.75,ta,5,2,1,
5,0.2,1,pu,5,2,1,
3,0,0.75,ko,5,2,1,
0,0,0,fe,5,2,1,
4,0,1,ge,5,2,1,
4,0,1,ru,5,2,1,
3,0,0.75,su,5,2,1,
5,0.2,1,re,5,2,1,
3,0,0.75,ni,5,2,1,
4,0,1,fu,5,2,1,
6,0.333333333,1,pu,5,3,1,
5,0.2,1,ta,5,3,1,
4,0.25,0.75,me,5,3,1,
0,0,0,fe,5,3,1,
4,0,1,ko,5,3,1,
6,0.333333333,1,ti,5,3,1,
4,0,1,ni,5,3,1,
4,0,1,re,5,3,1,
3,0,0.75,fu,5,3,1,
3,0,0.75,ru,5,3,1,
2,0,0.5,ge,5,3,1,
4,0,1,su,5,3,1,
5,0.2,1,pu,6,1,1,
7,0.571428571,0.75,ta,6,1,1,
4,0,1,me,6,1,1,
0,0,0,fe,6,1,1,
4,0.25,0.75,ko,6,1,1,
5,0.2,1,ti,6,1,1,
1,0,0.25,ni,6,1,1,
4,0,1,re,6,1,1,
4,0,1,fu,6,1,1,
5,0.2,1,ru,6,1,1,
4,0,1,ge,6,1,1,
1,0,0.25,su,6,1,1,
3,0,0.75,me,6,2,1,
5,0.2,1,ti,6,2,1,
5,0.4,0.75,ta,6,2,1,
5,0.2,1,pu,6,2,1,
3,0,0.75,ko,6,2,1,
0,0,0,fe,6,2,1,
3,0,0.75,ge,6,2,1,
4,0,1,ru,6,2,1,
4,0,1,su,6,2,1,
5,0.4,0.75,re,6,2,1,
4,0,1,ni,6,2,1,
4,0,1,fu,6,2,1,
5,0.6,0.5,ta,6,3,1,
