VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,File,Correct,participant,Age,date,expName,psychopyVersion,OS,frameRate,Welcome0ContKey.keys,Welcome0ContKey.rt,ContinueResp.keys,ContinueResp.rt,Wel2ContinueKey.keys,Wel2ContinueKey.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,Attn1ContKey.keys,Attn1ContKey.rt,AttnCheckResp.text,SyllblCheckContKey.keys,SyllblCheckContKey.rt,SyllblCheckResp.keys,SyllblCheckResp.corr,SyllblCheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Target,Word1,Word2,Word3,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,Counterbalance.thisRepN,Counterbalance.thisTrialN,Counterbalance.thisN,Counterbalance.thisIndex,Counterbalance.ran,WordOrder,SoundOrder,key_resp.keys,key_resp.rt,WelcomeSound2ContKey.keys,WelcomeSound2ContKey.rt,PracticeSoundKey.keys,PracticeSoundKey.corr,PracticeSoundKey.rt,SoundPracticeLoop.thisRepN,SoundPracticeLoop.thisTrialN,SoundPracticeLoop.thisN,SoundPracticeLoop.thisIndex,SoundPracticeLoop.ran,SoundMST_File,SoundCorrect,Correct2,SoundType,Trial,MSTSoundStrtKey.keys,MSTSoundStrtKey.rt,MSTSoundKey.keys,MSTSoundKey.corr,MSTSoundKey.rt,MSTSoundLoop.thisRepN,MSTSoundLoop.thisTrialN,MSTSoundLoop.thisN,MSTSoundLoop.thisIndex,MSTSoundLoop.ran,AttnCheck2Keys.keys,AttnCheck2Keys.rt,AttnCheck2Resp.text,SoundTask.thisRepN,SoundTask.thisTrialN,SoundTask.thisN,SoundTask.thisIndex,SoundTask.ran,key_resp_4.keys,key_resp_4.rt,GuessSoundIntro2Cont.keys,GuessSoundIntro2Cont.rt,GSSubmit.keys,GSSubmit.rt,GSResponse.text,GuessSoundLoop.thisRepN,GuessSoundLoop.thisTrialN,GuessSoundLoop.thisN,GuessSoundLoop.thisIndex,GuessSoundLoop.ran,GS_File,GS_Type,ExitKey.keys,ExitKey.rt
,,,,,,,,,,,,,1,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,1,1,1.68202,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,space,18.11418,2,1,5.31038,0,0,0,0,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,1.51653,0,1,1,1,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,1.172495,0,2,2,2,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,2.347675,0,3,3,3,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,0.780955,0,4,4,4,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,0.952195,0,5,5,5,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,1.077975,0,6,6,6,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/GI_SA_TAI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,0.62147,0,7,7,7,1,2,NEW,SIMILAR,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,0.65357,0,8,8,8,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,0,1.518245,0,9,9,9,1,1,OLD,OLD,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5cc7443b836ddc0016fec706,61,2021-03-24_21h46.14.303,CombinedMST_OA,2020.2.10,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,2,1,2.12875,0,10,10,10,1,2,NEW,NEW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
